theta_w,theta_v,avg_regret,std_regret
2.0,10.0,0.06741913315681139,0.06716449726326787
5.0,0.01,0.029364444344021995,0.02223736487042181
5.0,0.02,0.029452347298695704,0.022205041634187066
5.0,0.05,0.02976650953245083,0.022275846700044424
5.0,0.1,0.029864670818602085,0.02260856622889072
5.0,0.2,0.029592857790057096,0.022934919053625245
5.0,0.5,0.028365702182450724,0.021816333353569074
5.0,1.0,0.0269853700239845,0.020937501829621105
5.0,2.0,0.023851201432577022,0.019526500638799738
5.0,5.0,0.017628921367892424,0.013421400335557653
5.0,7.0,0.018517179429049905,0.013340184599610049
5.0,10.0,0.02362786297996758,0.02105386983847769
7.0,0.01,0.028841880702122978,0.02201532969940651
7.0,0.02,0.028930688894532354,0.02198661293214449
7.0,0.05,0.029234704957880994,0.022058388951653445
7.0,0.1,0.029310938890964637,0.0224012922531028
7.0,0.2,0.02902064818452464,0.02275552957131021
7.0,0.5,0.027825292626577527,0.021830339828386624
7.0,1.0,0.02673370466080616,0.021182163300107797
7.0,2.0,0.0248343174333433,0.02037050188114986
7.0,5.0,0.01896637132387954,0.015803905619381175
7.0,7.0,0.017641065249412193,0.012771649304161118
7.0,10.0,0.01857805379682345,0.013131928777267975
10.0,0.01,0.028469098179966276,0.021856970283990404
10.0,0.02,0.028557244500317047,0.021829812524303917
10.0,0.05,0.02885444739841494,0.02190176965700734
10.0,0.1,0.028915888043051504,0.022248139588993337
10.0,0.2,0.028611649507140277,0.022625593409896443
10.0,0.5,0.02739970053215132,0.02186169886560221
10.0,1.0,0.026315518278303765,0.021401968631270262
10.0,2.0,0.024980812224775037,0.020847401573336154
10.0,5.0,0.021439718530161758,0.018706572328986298
10.0,7.0,0.020008222846422067,0.01683618480354529
10.0,10.0,0.01927214704037625,0.014292196630742056
